AGS,Ort,1_Gewinner,1_Partei_1_Stimmen,1_Partei_1_Anteil,1_Partei_1_Name,1_Partei_2_Stimmen,1_Partei_2_Anteil,1_Partei_2_Name,1_Partei_3_Stimmen,1_Partei_3_Anteil,1_Partei_3_Name,1_Partei_4_Stimmen,1_Partei_4_Anteil,1_Partei_4_Name,1_Partei_5_Stimmen,1_Partei_5_Anteil,1_Partei_5_Name,1_Partei_6_Stimmen,1_Partei_6_Anteil,1_Partei_6_Name,1_Partei_andere_Stimmen,1_Partei_andere_Anteil,1_Partei_andere_Name,1_ungültige Stimmen,1_gültige Stimmen,2_Gewinner,2_Partei_1_Stimmen,2_Partei_1_Anteil,2_Partei_1_Name,2_Partei_2_Stimmen,2_Partei_2_Anteil,2_Partei_2_Name,2_Partei_3_Stimmen,2_Partei_3_Anteil,2_Partei_3_Name,2_Partei_4_Stimmen,2_Partei_4_Anteil,2_Partei_4_Name,2_Partei_5_Stimmen,2_Partei_5_Anteil,2_Partei_5_Name,2_Partei_6_Stimmen,2_Partei_6_Anteil,2_Partei_6_Name,2_Partei_andere_Stimmen,2_Partei_andere_Anteil,2_Partei_andere_Name,2_ungültige Stimmen,2_gültige Stimmen,WKNr,Stimmen Wahlberechtigte,Stimmen Wähler,Anteil Wahlberechtigte,Anteil Wähler
14522020,"Augustusburg, Stadt",SPD,746,25.0,SPD,726,24.4,AfD,371,12.4,CDU,365,12.2,LINKE,171,5.7,FDP,86,2.9,GRÜNE,515,17.3,andere Parteien,25,2980,SPD,748,25.2,SPD,742,25.0,AfD,366,12.3,LINKE,357,12.0,CDU,221,7.5,FDP,79,2.7,GRÜNE,451,15.2,andere Parteien,41,2964,161,3780,3005,100.0,79.5
14522035,Bobritzsch-Hilbersdorf,AfD,777,24.4,AfD,776,24.4,SPD,402,12.6,LINKE,387,12.2,CDU,172,5.4,FDP,95,3.0,GRÜNE,573,18.0,andere Parteien,33,3182,SPD,814,25.6,SPD,802,25.2,AfD,405,12.7,LINKE,401,12.6,CDU,254,8.0,FDP,84,2.6,GRÜNE,421,13.2,andere Parteien,34,3181,161,4639,3215,100.0,69.3
14522050,"Brand-Erbisdorf, Stadt",AfD,1312,25.5,AfD,1280,24.9,SPD,650,12.6,LINKE,649,12.6,CDU,248,4.8,FDP,111,2.2,GRÜNE,896,17.4,andere Parteien,53,5146,AfD,1306,25.4,AfD,1271,24.7,SPD,656,12.7,LINKE,642,12.5,CDU,388,7.5,FDP,106,2.1,GRÜNE,779,15.1,andere Parteien,51,5148,161,7845,5199,100.0,66.3
14522060,"Burgstädt, Stadt",SPD,1738,25.4,SPD,1724,25.1,AfD,862,12.6,CDU,852,12.4,LINKE,521,7.6,FDP,246,3.6,GRÜNE,912,13.3,andere Parteien,77,6855,AfD,1717,25.0,AfD,1707,24.9,SPD,869,12.7,CDU,856,12.5,LINKE,540,7.9,FDP,207,3.0,GRÜNE,966,14.1,andere Parteien,70,6862,163,8770,6932,100.0,79.0
14522070,Claußnitz,SPD,459,25.0,SPD,444,24.2,AfD,228,12.4,CDU,228,12.4,LINKE,146,8.0,FDP,62,3.4,GRÜNE,267,14.6,andere Parteien,17,1834,AfD,460,25.1,AfD,455,24.8,SPD,229,12.5,CDU,225,12.3,LINKE,163,8.9,FDP,43,2.3,GRÜNE,257,14.0,andere Parteien,19,1832,163,2468,1851,100.0,75.0
14522080,"Döbeln, Stadt",AfD,3568,24.9,AfD,3540,24.7,SPD,1790,12.5,CDU,1778,12.4,LINKE,872,6.1,FDP,385,2.7,GRÜNE,2384,16.7,andere Parteien,143,14317,AfD,3580,25.0,AfD,3555,24.9,SPD,1791,12.5,LINKE,1782,12.5,CDU,1050,7.3,FDP,318,2.2,GRÜNE,2229,15.6,andere Parteien,155,14305,161,19968,14460,100.0,72.4
14522090,Dorfchemnitz,AfD,227,25.6,AfD,226,25.5,SPD,112,12.6,CDU,109,12.3,LINKE,32,3.6,FDP,17,1.9,GRÜNE,164,18.5,andere Parteien,6,887,AfD,224,25.3,AfD,223,25.2,SPD,115,13.0,LINKE,114,12.9,CDU,54,6.1,FDP,20,2.3,GRÜNE,134,15.2,andere Parteien,9,884,161,1253,893,100.0,71.3
14522110,Eppendorf,SPD,723,24.7,SPD,709,24.2,AfD,370,12.6,CDU,370,12.6,LINKE,160,5.5,FDP,59,2.0,GRÜNE,541,18.5,andere Parteien,34,2932,AfD,742,25.3,AfD,730,24.9,SPD,364,12.4,CDU,364,12.4,LINKE,254,8.6,FDP,52,1.8,GRÜNE,431,14.7,andere Parteien,29,2937,161,3333,2966,100.0,89.0
14522120,Erlau,SPD,577,25.7,SPD,552,24.6,AfD,285,12.7,LINKE,279,12.4,CDU,181,8.1,FDP,74,3.3,GRÜNE,294,13.1,andere Parteien,20,2242,SPD,565,25.2,SPD,557,24.9,AfD,280,12.5,LINKE,276,12.3,CDU,177,7.9,FDP,57,2.5,GRÜNE,327,14.6,andere Parteien,23,2239,163,2646,2262,100.0,85.5
14522140,"Flöha, Stadt",AfD,1594,25.0,AfD,1589,24.9,SPD,805,12.6,CDU,802,12.6,LINKE,309,4.8,FDP,178,2.8,GRÜNE,1111,17.4,andere Parteien,67,6388,SPD,1606,25.1,SPD,1596,25.0,AfD,805,12.6,CDU,795,12.4,LINKE,421,6.6,FDP,170,2.7,GRÜNE,1002,15.7,andere Parteien,60,6395,161,8844,6455,100.0,73.0
14522150,"Frankenberg/Sa., Stadt, Garnisonsstadt",SPD,2008,25.1,SPD,1972,24.7,AfD,1001,12.5,LINKE,990,12.4,CDU,513,6.4,FDP,228,2.9,GRÜNE,1285,16.1,andere Parteien,68,7997,AfD,2000,25.1,AfD,1985,24.9,SPD,1007,12.6,CDU,993,12.4,LINKE,642,8.0,FDP,185,2.3,GRÜNE,1167,14.6,andere Parteien,86,7979,161,11525,8065,100.0,70.0
14522170,"Frauenstein, Stadt",AfD,459,24.8,AfD,457,24.7,SPD,233,12.6,CDU,231,12.5,LINKE,82,4.4,FDP,48,2.6,GRÜNE,342,18.5,andere Parteien,15,1852,AfD,460,24.9,AfD,453,24.5,SPD,231,12.5,CDU,228,12.3,LINKE,131,7.1,FDP,44,2.4,GRÜNE,300,16.2,andere Parteien,20,1847,161,2289,1867,100.0,81.6
14522180,"Freiberg, Stadt, Universitätsstadt",SPD,5587,25.0,SPD,5562,24.9,AfD,2791,12.5,CDU,2782,12.5,LINKE,1232,5.5,FDP,1058,4.7,GRÜNE,3302,14.8,andere Parteien,243,22314,SPD,5626,25.2,SPD,5550,24.8,AfD,2790,12.5,CDU,2785,12.5,LINKE,1917,8.6,FDP,929,4.2,GRÜNE,2756,12.3,andere Parteien,204,22353,161,31977,22557,100.0,70.5
14522190,"Geringswalde, Stadt",AfD,683,25.1,AfD,664,24.4,SPD,345,12.7,CDU,340,12.5,LINKE,196,7.2,FDP,88,3.2,GRÜNE,403,14.8,andere Parteien,30,2719,SPD,678,25.0,SPD,671,24.7,AfD,343,12.6,LINKE,333,12.3,CDU,189,7.0,FDP,59,2.2,GRÜNE,439,16.2,andere Parteien,37,2712,163,3476,2749,100.0,79.1
14522200,Großhartmannsdorf,SPD,487,25.5,SPD,481,25.2,AfD,240,12.6,LINKE,239,12.5,CDU,122,6.4,FDP,27,1.4,GRÜNE,316,16.5,andere Parteien,24,1912,AfD,478,25.0,AfD,477,24.9,SPD,243,12.7,CDU,231,12.1,LINKE,156,8.1,FDP,20,1.0,GRÜNE,310,16.2,andere Parteien,21,1915,161,2069,1936,100.0,93.6
14522210,"Großschirma, Stadt",SPD,812,25.0,SPD,807,24.8,AfD,405,12.4,CDU,403,12.4,LINKE,174,5.3,FDP,108,3.3,GRÜNE,545,16.7,andere Parteien,29,3254,AfD,818,25.2,AfD,816,25.1,SPD,407,12.5,LINKE,403,12.4,CDU,256,7.9,FDP,101,3.1,GRÜNE,449,13.8,andere Parteien,33,3250,161,4574,3283,100.0,71.8
14522220,Großweitzschen,SPD,313,24.8,SPD,312,24.7,AfD,160,12.7,LINKE,155,12.3,CDU,72,5.7,FDP,37,2.9,GRÜNE,214,16.9,andere Parteien,13,1263,SPD,321,25.4,SPD,316,25.0,AfD,155,12.3,CDU,155,12.3,LINKE,109,8.6,FDP,37,2.9,GRÜNE,172,13.6,andere Parteien,11,1265,161,2250,1276,100.0,56.7
14522230,"Hainichen, Stadt",AfD,1263,24.9,AfD,1239,24.4,SPD,639,12.6,LINKE,626,12.3,CDU,293,5.8,FDP,106,2.1,GRÜNE,915,18.0,andere Parteien,57,5081,AfD,1265,24.9,AfD,1261,24.8,SPD,637,12.5,CDU,635,12.5,LINKE,363,7.1,FDP,90,1.8,GRÜNE,828,16.3,andere Parteien,59,5079,161,7196,5138,100.0,71.4
14522240,Halsbrücke,SPD,784,24.8,SPD,776,24.5,AfD,402,12.7,LINKE,399,12.6,CDU,164,5.2,FDP,97,3.1,GRÜNE,541,17.1,andere Parteien,30,3163,SPD,791,25.0,SPD,778,24.6,AfD,399,12.6,LINKE,390,12.3,CDU,223,7.1,FDP,95,3.0,GRÜNE,485,15.3,andere Parteien,32,3161,161,4207,3193,100.0,75.9
14522250,"Hartha, Stadt",SPD,1042,25.3,SPD,1037,25.2,AfD,515,12.5,LINKE,511,12.4,CDU,246,6.0,FDP,101,2.5,GRÜNE,667,16.2,andere Parteien,41,4119,SPD,1035,25.1,SPD,1025,24.9,AfD,515,12.5,LINKE,514,12.5,CDU,276,6.7,FDP,96,2.3,GRÜNE,659,16.0,andere Parteien,40,4120,161,5776,4160,100.0,72.0
14522260,Hartmannsdorf,SPD,649,24.7,SPD,644,24.5,AfD,324,12.3,LINKE,320,12.2,CDU,195,7.4,FDP,85,3.2,GRÜNE,407,15.5,andere Parteien,30,2624,SPD,669,25.5,SPD,658,25.1,AfD,324,12.4,LINKE,319,12.2,CDU,220,8.4,FDP,73,2.8,GRÜNE,359,13.7,andere Parteien,32,2622,163,3700,2654,100.0,71.7
14522280,Königsfeld,SPD,123,24.9,SPD,121,24.5,AfD,62,12.6,CDU,62,12.6,LINKE,37,7.5,FDP,24,4.9,GRÜNE,64,13.0,andere Parteien,6,493,AfD,129,26.0,AfD,127,25.6,SPD,62,12.5,CDU,62,12.5,LINKE,44,8.9,FDP,14,2.8,GRÜNE,58,11.7,andere Parteien,3,496,163,1177,499,100.0,42.4
14522290,Königshain-Wiederau,SPD,381,25.4,SPD,377,25.2,AfD,189,12.6,LINKE,187,12.5,CDU,99,6.6,FDP,53,3.5,GRÜNE,212,14.2,andere Parteien,16,1498,SPD,375,25.0,SPD,374,24.9,AfD,190,12.7,CDU,183,12.2,LINKE,108,7.2,FDP,49,3.3,GRÜNE,221,14.7,andere Parteien,14,1500,163,2115,1514,100.0,71.6
14522300,Kriebstein,SPD,293,24.9,SPD,288,24.5,AfD,148,12.6,CDU,143,12.1,LINKE,58,4.9,FDP,32,2.7,GRÜNE,215,18.3,andere Parteien,12,1177,AfD,296,25.1,AfD,296,25.1,SPD,150,12.7,LINKE,149,12.6,CDU,99,8.4,FDP,14,1.2,GRÜNE,175,14.8,andere Parteien,10,1179,161,1717,1189,100.0,69.2
14522310,"Leisnig, Stadt",SPD,1179,25.3,SPD,1161,24.9,AfD,586,12.6,CDU,580,12.5,LINKE,257,5.5,FDP,127,2.7,GRÜNE,765,16.4,andere Parteien,50,4655,SPD,1180,25.3,SPD,1170,25.1,AfD,594,12.7,LINKE,583,12.5,CDU,351,7.5,FDP,116,2.5,GRÜNE,672,14.4,andere Parteien,39,4666,161,6893,4705,100.0,68.3
14522320,Leubsdorf,AfD,404,25.4,AfD,389,24.4,SPD,205,12.9,CDU,200,12.6,LINKE,57,3.6,FDP,36,2.3,GRÜNE,301,18.9,andere Parteien,18,1592,AfD,406,25.5,AfD,395,24.8,SPD,204,12.8,LINKE,197,12.4,CDU,100,6.3,FDP,42,2.6,GRÜNE,247,15.5,andere Parteien,19,1591,161,2712,1610,100.0,59.4
14522330,Lichtenau,AfD,1019,25.1,AfD,1003,24.7,SPD,511,12.6,LINKE,504,12.4,CDU,388,9.6,FDP,143,3.5,GRÜNE,489,12.1,andere Parteien,44,4057,SPD,1014,25.0,SPD,1010,24.9,AfD,507,12.5,LINKE,503,12.4,CDU,371,9.1,FDP,124,3.1,GRÜNE,531,13.1,andere Parteien,41,4060,163,5900,4101,100.0,69.5
14522340,Lichtenberg/Erzgeb.,SPD,389,24.9,SPD,382,24.4,AfD,201,12.8,LINKE,196,12.5,CDU,93,5.9,FDP,42,2.7,GRÜNE,262,16.7,andere Parteien,16,1565,AfD,394,25.2,AfD,387,24.8,SPD,199,12.7,LINKE,189,12.1,CDU,123,7.9,FDP,31,2.0,GRÜNE,238,15.2,andere Parteien,20,1561,161,2157,1581,100.0,73.3
14522350,"Lunzenau, Stadt",SPD,724,25.2,SPD,723,25.1,AfD,357,12.4,LINKE,355,12.3,CDU,201,7.0,FDP,74,2.6,GRÜNE,441,15.3,andere Parteien,30,2875,SPD,729,25.3,SPD,720,25.0,AfD,355,12.3,LINKE,353,12.3,CDU,178,6.2,FDP,61,2.1,GRÜNE,483,16.8,andere Parteien,26,2879,163,3521,2905,100.0,82.5
14522360,"Mittweida, Stadt, Hochschulstadt",SPD,2129,25.1,SPD,2101,24.7,AfD,1068,12.6,CDU,1066,12.6,LINKE,621,7.3,FDP,341,4.0,GRÜNE,1166,13.7,andere Parteien,87,8492,AfD,2131,25.1,AfD,2106,24.8,SPD,1064,12.5,LINKE,1063,12.5,CDU,716,8.4,FDP,289,3.4,GRÜNE,1125,13.2,andere Parteien,85,8494,161,11862,8579,100.0,72.3
14522380,Mühlau,AfD,225,25.7,AfD,212,24.2,SPD,115,13.1,CDU,106,12.1,LINKE,72,8.2,FDP,25,2.9,GRÜNE,122,13.9,andere Parteien,5,877,AfD,216,24.7,AfD,213,24.3,SPD,111,12.7,LINKE,105,12.0,CDU,81,9.2,FDP,25,2.9,GRÜNE,125,14.3,andere Parteien,6,876,163,1737,882,100.0,50.8
14522390,Mulda/Sa.,SPD,359,25.9,SPD,350,25.3,AfD,174,12.6,CDU,169,12.2,LINKE,65,4.7,FDP,25,1.8,GRÜNE,243,17.5,andere Parteien,17,1385,AfD,347,25.1,AfD,339,24.5,SPD,173,12.5,CDU,168,12.1,LINKE,123,8.9,FDP,20,1.4,GRÜNE,215,15.5,andere Parteien,17,1385,161,1983,1402,100.0,70.7
14522400,Neuhausen/Erzgeb.,AfD,356,24.2,AfD,356,24.2,SPD,189,12.9,LINKE,181,12.3,CDU,75,5.1,FDP,44,3.0,GRÜNE,268,18.2,andere Parteien,17,1469,AfD,372,25.3,AfD,363,24.7,SPD,187,12.7,CDU,187,12.7,LINKE,109,7.4,FDP,37,2.5,GRÜNE,214,14.6,andere Parteien,17,1469,161,2172,1486,100.0,68.4
14522420,Niederwiesa,SPD,645,25.0,SPD,640,24.8,AfD,326,12.6,LINKE,314,12.2,CDU,145,5.6,FDP,118,4.6,GRÜNE,396,15.3,andere Parteien,31,2584,AfD,657,25.4,AfD,651,25.1,SPD,326,12.6,LINKE,323,12.5,CDU,226,8.7,FDP,121,4.7,GRÜNE,286,11.0,andere Parteien,25,2590,161,4064,2615,100.0,64.3
14522430,Oberschöna,AfD,537,25.5,AfD,531,25.2,SPD,270,12.8,LINKE,261,12.4,CDU,117,5.6,FDP,79,3.8,GRÜNE,311,14.8,andere Parteien,19,2106,SPD,536,25.5,SPD,530,25.2,AfD,266,12.6,LINKE,262,12.5,CDU,190,9.0,FDP,78,3.7,GRÜNE,242,11.5,andere Parteien,21,2104,161,2692,2125,100.0,78.9
14522440,"Oederan, Stadt",AfD,960,25.0,AfD,939,24.5,SPD,486,12.7,LINKE,477,12.4,CDU,193,5.0,FDP,88,2.3,GRÜNE,694,18.1,andere Parteien,42,3837,AfD,956,24.9,AfD,946,24.6,SPD,485,12.6,CDU,480,12.5,LINKE,294,7.7,FDP,86,2.2,GRÜNE,595,15.5,andere Parteien,37,3842,161,6548,3879,100.0,59.2
14522450,Ostrau,SPD,598,25.0,SPD,590,24.7,AfD,307,12.8,CDU,303,12.7,LINKE,150,6.3,FDP,56,2.3,GRÜNE,388,16.2,andere Parteien,22,2392,AfD,594,24.8,AfD,594,24.8,SPD,301,12.6,CDU,298,12.5,LINKE,169,7.1,FDP,49,2.0,GRÜNE,387,16.2,andere Parteien,22,2392,161,2875,2414,100.0,84.0
14522460,"Penig, Stadt",SPD,1307,25.5,SPD,1261,24.6,AfD,643,12.5,LINKE,638,12.4,CDU,378,7.4,FDP,167,3.3,GRÜNE,731,14.3,andere Parteien,53,5125,SPD,1293,25.2,SPD,1291,25.2,AfD,640,12.5,LINKE,636,12.4,CDU,357,7.0,FDP,157,3.1,GRÜNE,759,14.8,andere Parteien,45,5133,163,7288,5178,100.0,71.0
14522470,Rechenberg-Bienenmühle,SPD,305,25.6,SPD,292,24.5,AfD,146,12.3,CDU,145,12.2,LINKE,62,5.2,FDP,31,2.6,GRÜNE,209,17.6,andere Parteien,11,1190,SPD,299,25.1,SPD,297,24.9,AfD,155,13.0,LINKE,154,12.9,CDU,130,10.9,FDP,22,1.8,GRÜNE,136,11.4,andere Parteien,8,1193,161,1588,1201,100.0,75.6
14522480,Reinsberg,AfD,428,25.3,AfD,421,24.9,SPD,214,12.6,LINKE,213,12.6,CDU,93,5.5,FDP,60,3.5,GRÜNE,265,15.6,andere Parteien,13,1694,AfD,422,25.0,AfD,421,25.0,SPD,211,12.5,LINKE,210,12.4,CDU,127,7.5,FDP,57,3.4,GRÜNE,239,14.2,andere Parteien,20,1687,161,2284,1707,100.0,74.7
14522490,"Rochlitz, Stadt",AfD,817,25.5,AfD,806,25.2,SPD,400,12.5,LINKE,399,12.5,CDU,279,8.7,FDP,116,3.6,GRÜNE,385,12.0,andere Parteien,39,3202,SPD,809,25.2,SPD,791,24.6,AfD,404,12.6,LINKE,395,12.3,CDU,248,7.7,FDP,75,2.3,GRÜNE,492,15.3,andere Parteien,27,3214,163,4753,3241,100.0,68.2
14522500,Rossau,AfD,562,25.0,AfD,560,24.9,SPD,283,12.6,LINKE,282,12.6,CDU,180,8.0,FDP,61,2.7,GRÜNE,317,14.1,andere Parteien,21,2245,SPD,570,25.4,SPD,549,24.5,AfD,281,12.5,LINKE,277,12.3,CDU,180,8.0,FDP,62,2.8,GRÜNE,324,14.4,andere Parteien,23,2243,161,2871,2266,100.0,78.9
14522510,"Roßwein, Stadt",SPD,996,24.9,SPD,984,24.6,AfD,498,12.5,LINKE,494,12.4,CDU,256,6.4,FDP,112,2.8,GRÜNE,656,16.4,andere Parteien,39,3996,SPD,1020,25.5,SPD,1005,25.1,AfD,504,12.6,LINKE,498,12.5,CDU,319,8.0,FDP,102,2.6,GRÜNE,552,13.8,andere Parteien,35,4000,161,5953,4035,100.0,67.8
14522520,"Sayda, Stadt",SPD,297,26.0,SPD,296,25.9,AfD,143,12.5,CDU,141,12.3,LINKE,45,3.9,FDP,30,2.6,GRÜNE,192,16.8,andere Parteien,10,1144,SPD,285,24.9,SPD,276,24.1,AfD,141,12.3,LINKE,139,12.2,CDU,102,8.9,FDP,30,2.6,GRÜNE,170,14.9,andere Parteien,11,1143,161,1496,1154,100.0,77.1
14522530,Seelitz,SPD,281,25.5,SPD,269,24.4,AfD,136,12.3,LINKE,134,12.2,CDU,88,8.0,FDP,30,2.7,GRÜNE,164,14.9,andere Parteien,7,1102,SPD,269,24.5,SPD,262,23.9,AfD,143,13.0,LINKE,136,12.4,CDU,81,7.4,FDP,19,1.7,GRÜNE,188,17.1,andere Parteien,11,1098,163,1447,1109,100.0,76.6
14522540,Striegistal,SPD,642,25.0,SPD,641,25.0,AfD,320,12.5,LINKE,319,12.4,CDU,146,5.7,FDP,64,2.5,GRÜNE,431,16.8,andere Parteien,24,2563,SPD,641,25.1,SPD,632,24.7,AfD,323,12.6,CDU,317,12.4,LINKE,165,6.5,FDP,50,2.0,GRÜNE,428,16.7,andere Parteien,31,2556,161,3957,2587,100.0,65.4
14522550,Taura,SPD,268,25.6,SPD,258,24.7,AfD,130,12.4,LINKE,127,12.1,CDU,85,8.1,FDP,40,3.8,GRÜNE,138,13.2,andere Parteien,9,1046,SPD,261,25.0,SPD,258,24.7,AfD,132,12.6,LINKE,129,12.3,CDU,81,7.8,FDP,31,3.0,GRÜNE,153,14.6,andere Parteien,10,1045,163,1897,1055,100.0,55.6
14522570,"Waldheim, Stadt",AfD,1291,25.2,AfD,1279,25.0,SPD,641,12.5,CDU,640,12.5,LINKE,433,8.5,FDP,130,2.5,GRÜNE,708,13.8,andere Parteien,48,5122,SPD,1278,24.9,SPD,1274,24.9,AfD,640,12.5,CDU,638,12.4,LINKE,496,9.7,FDP,105,2.0,GRÜNE,695,13.6,andere Parteien,44,5126,161,7251,5170,100.0,71.3
14522580,Wechselburg,SPD,205,25.4,SPD,200,24.8,AfD,103,12.8,LINKE,101,12.5,CDU,65,8.1,FDP,29,3.6,GRÜNE,104,12.9,andere Parteien,11,807,AfD,208,25.7,AfD,206,25.5,SPD,101,12.5,CDU,97,12.0,LINKE,58,7.2,FDP,25,3.1,GRÜNE,114,14.1,andere Parteien,9,809,163,1506,818,100.0,54.3
14522590,Weißenborn/Erzgeb.,AfD,371,25.9,AfD,362,25.3,SPD,180,12.6,CDU,175,12.2,LINKE,87,6.1,FDP,40,2.8,GRÜNE,216,15.1,andere Parteien,14,1431,AfD,362,25.3,AfD,346,24.2,SPD,179,12.5,CDU,178,12.4,LINKE,129,9.0,FDP,28,2.0,GRÜNE,208,14.5,andere Parteien,15,1430,161,2012,1445,100.0,71.8
14522600,Zettlitz,SPD,130,25.5,SPD,129,25.3,AfD,66,12.9,CDU,64,12.5,LINKE,39,7.6,FDP,19,3.7,GRÜNE,63,12.4,andere Parteien,3,510,SPD,122,24.1,SPD,121,23.9,AfD,65,12.8,LINKE,61,12.0,CDU,35,6.9,FDP,14,2.8,GRÜNE,89,17.6,andere Parteien,6,507,163,579,513,100.0,88.6
14522620,Zschaitz-Ottewig,SPD,184,25.0,SPD,181,24.6,AfD,95,12.9,LINKE,89,12.1,CDU,58,7.9,FDP,24,3.3,GRÜNE,105,14.3,andere Parteien,8,736,SPD,184,25.0,SPD,178,24.2,AfD,93,12.6,LINKE,91,12.3,CDU,64,8.7,FDP,16,2.2,GRÜNE,111,15.1,andere Parteien,7,737,161,1095,744,100.0,67.9
14523010,"Adorf/Vogtl., Stadt",SPD,831,25.5,SPD,808,24.7,AfD,404,12.4,CDU,400,12.3,LINKE,156,4.8,FDP,96,2.9,GRÜNE,570,17.5,andere Parteien,36,3265,AfD,832,25.5,AfD,829,25.4,SPD,406,12.4,LINKE,401,12.3,CDU,188,5.8,FDP,90,2.8,GRÜNE,522,16.0,andere Parteien,33,3268,166,4070,3301,100.0,81.1
14523020,"Auerbach/Vogtl., Stadt",SPD,3098,25.1,SPD,3072,24.9,AfD,1554,12.6,CDU,1526,12.4,LINKE,598,4.8,FDP,379,3.1,GRÜNE,2127,17.2,andere Parteien,120,12354,SPD,3103,25.1,SPD,3080,24.9,AfD,1556,12.6,CDU,1539,12.5,LINKE,873,7.1,FDP,312,2.5,GRÜNE,1885,15.3,andere Parteien,126,12348,166,15324,12474,100.0,81.4
14523030,Bad Brambach,SPD,350,24.9,SPD,335,23.8,AfD,182,12.9,LINKE,175,12.4,CDU,61,4.3,FDP,44,3.1,GRÜNE,260,18.5,andere Parteien,13,1407,SPD,356,25.3,SPD,350,24.8,AfD,182,12.9,CDU,181,12.8,LINKE,81,5.7,FDP,39,2.8,GRÜNE,220,15.6,andere Parteien,11,1409,166,1531,1420,100.0,92.7
14523040,"Bad Elster, Stadt",AfD,564,24.8,AfD,564,24.8,SPD,285,12.5,CDU,285,12.5,LINKE,114,5.0,FDP,86,3.8,GRÜNE,380,16.7,andere Parteien,23,2278,AfD,569,25.0,AfD,568,24.9,SPD,288,12.6,LINKE,285,12.5,CDU,148,6.5,FDP,86,3.8,GRÜNE,335,14.7,andere Parteien,22,2279,166,3033,2301,100.0,75.9
14523050,Bergen,AfD,121,24.8,AfD,119,24.4,SPD,59,12.1,CDU,58,11.9,LINKE,22,4.5,FDP,11,2.3,GRÜNE,97,19.9,andere Parteien,4,487,AfD,122,25.1,AfD,120,24.6,SPD,62,12.7,LINKE,60,12.3,CDU,32,6.6,FDP,16,3.3,GRÜNE,75,15.4,andere Parteien,4,487,166,823,491,100.0,59.7
14523060,Bösenbrunn,AfD,173,24.8,AfD,169,24.2,SPD,86,12.3,LINKE,85,12.2,CDU,30,4.3,FDP,24,3.4,GRÜNE,131,18.8,andere Parteien,8,698,AfD,182,26.1,AfD,178,25.5,SPD,89,12.8,CDU,88,12.6,LINKE,36,5.2,FDP,23,3.3,GRÜNE,101,14.5,andere Parteien,9,697,166,964,706,100.0,73.2
14523080,Eichigt,SPD,244,26.0,SPD,232,24.7,AfD,117,12.5,CDU,114,12.2,LINKE,44,4.7,FDP,28,3.0,GRÜNE,159,17.0,andere Parteien,9,938,AfD,245,26.1,AfD,232,24.7,SPD,120,12.8,LINKE,113,12.0,CDU,46,4.9,FDP,26,2.8,GRÜNE,157,16.7,andere Parteien,8,939,166,1028,947,100.0,92.1
14523090,Ellefeld,AfD,349,25.2,AfD,347,25.1,SPD,170,12.3,LINKE,169,12.2,CDU,78,5.6,FDP,50,3.6,GRÜNE,221,16.0,andere Parteien,12,1384,SPD,342,24.8,SPD,337,24.4,AfD,180,13.0,LINKE,174,12.6,CDU,109,7.9,FDP,44,3.2,GRÜNE,195,14.1,andere Parteien,15,1381,166,1973,1396,100.0,70.8
14523100,"Elsterberg, Stadt",SPD,513,25.1,SPD,505,24.7,AfD,256,12.5,CDU,252,12.3,LINKE,118,5.8,FDP,84,4.1,GRÜNE,314,15.4,andere Parteien,24,2042,SPD,516,25.2,SPD,511,24.9,AfD,257,12.5,LINKE,254,12.4,CDU,143,7.0,FDP,81,4.0,GRÜNE,287,14.0,andere Parteien,17,2049,166,3275,2066,100.0,63.1
14523120,"Falkenstein/Vogtl., Stadt",AfD,1176,24.9,AfD,1168,24.8,SPD,607,12.9,CDU,590,12.5,LINKE,258,5.5,FDP,135,2.9,GRÜNE,784,16.6,andere Parteien,46,4718,SPD,1173,24.9,SPD,1151,24.4,AfD,583,12.4,CDU,574,12.2,LINKE,326,6.9,FDP,115,2.4,GRÜNE,792,16.8,andere Parteien,50,4714,166,6767,4764,100.0,70.4
14523130,Grünbach,AfD,259,25.4,AfD,247,24.2,SPD,124,12.2,LINKE,121,11.9,CDU,45,4.4,FDP,28,2.7,GRÜNE,195,19.1,andere Parteien,6,1019,SPD,254,24.9,SPD,252,24.7,AfD,128,12.6,CDU,124,12.2,LINKE,71,7.0,FDP,22,2.2,GRÜNE,168,16.5,andere Parteien,6,1019,166,1444,1025,100.0,71.0
14523150,Heinsdorfergrund,SPD,292,24.8,SPD,290,24.7,AfD,151,12.8,LINKE,145,12.3,CDU,69,5.9,FDP,40,3.4,GRÜNE,189,16.1,andere Parteien,12,1176,AfD,304,25.8,AfD,303,25.7,SPD,152,12.9,CDU,146,12.4,LINKE,86,7.3,FDP,35,3.0,GRÜNE,151,12.8,andere Parteien,11,1177,166,1654,1188,100.0,71.8
14523160,"Klingenthal, Stadt",SPD,1256,25.1,SPD,1254,25.0,AfD,635,12.7,CDU,621,12.4,LINKE,202,4.0,FDP,117,2.3,GRÜNE,921,18.4,andere Parteien,51,5006,SPD,1277,25.5,SPD,1238,24.7,AfD,635,12.7,CDU,623,12.4,LINKE,315,6.3,FDP,114,2.3,GRÜNE,805,16.1,andere Parteien,50,5007,166,6916,5057,100.0,73.1
